"","status","duration","credit_history","purpose","amount","savings","employment_duration","installment_rate","personal_status_sex","other_debtors","present_residence","property","age","other_installment_plans","housing","number_credits","job","people_liable","telephone","foreign_worker","credit_risk"
"1","... < 100 DM",6,"critical account/other credits existing","domestic appliances",1169,"unknown/no savings account","... >= 7 years",4,"male : single","none",4,"real estate",67,"none","own",2,"skilled employee/official",1,"yes","yes",1
"2","0 <= ... < 200 DM",48,"existing credits paid back duly till now","domestic appliances",5951,"... < 100 DM","1 <= ... < 4 years",2,"female : divorced/separated/married","none",2,"real estate",22,"none","own",1,"skilled employee/official",1,"no","yes",0
"3","no checking account",12,"critical account/other credits existing","retraining",2096,"... < 100 DM","4 <= ... < 7 years",2,"male : single","none",3,"real estate",49,"none","own",1,"unskilled - resident",2,"no","yes",1
"4","... < 100 DM",42,"existing credits paid back duly till now","radio/television",7882,"... < 100 DM","4 <= ... < 7 years",2,"male : single","guarantor",4,"building society savings agreement/life insurance",45,"none","for free",1,"skilled employee/official",2,"no","yes",1
"5","... < 100 DM",24,"delay in paying off in the past","car (new)",4870,"... < 100 DM","1 <= ... < 4 years",3,"male : single","none",4,"unknown/no property",53,"none","for free",2,"skilled employee/official",2,"no","yes",0
"6","no checking account",36,"existing credits paid back duly till now","retraining",NA,"unknown/no savings account","1 <= ... < 4 years",2,"male : single","none",4,"unknown/no property",35,"none","for free",1,"unskilled - resident",2,"yes","yes",1
"7","no checking account",24,"existing credits paid back duly till now","radio/television",2835,"500 <= ... < 1000 DM","... >= 7 years",3,"male : single","none",4,"building society savings agreement/life insurance",53,"none","own",1,"skilled employee/official",1,"no","yes",1
"8","0 <= ... < 200 DM",36,"existing credits paid back duly till now","car (used)",6948,"... < 100 DM","1 <= ... < 4 years",2,"male : single","none",2,"car or other",35,"none","rent",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"9","no checking account",12,"existing credits paid back duly till now","domestic appliances",3059,"... >= 1000 DM","4 <= ... < 7 years",2,"male : divorced/separated","none",4,"real estate",61,"none","own",1,"unskilled - resident",1,"no","yes",1
"10","0 <= ... < 200 DM",30,"critical account/other credits existing","car (new)",5234,"... < 100 DM","unemployed",4,"male : married/widowed","none",2,"car or other",28,"none","own",2,"management/self-employed/highly qualified employee/officer",1,"no","yes",0
"11","0 <= ... < 200 DM",12,"existing credits paid back duly till now","car (new)",NA,"... < 100 DM","... < 1 year",3,"female : divorced/separated/married","none",1,"car or other",25,"none","rent",1,"skilled employee/official",1,"no","yes",0
"12","... < 100 DM",48,"existing credits paid back duly till now","others",4308,"... < 100 DM","... < 1 year",3,"female : divorced/separated/married","none",4,"building society savings agreement/life insurance",24,"none","rent",1,"skilled employee/official",1,"no","yes",0
"13","0 <= ... < 200 DM",12,"existing credits paid back duly till now","domestic appliances",1567,"... < 100 DM","1 <= ... < 4 years",1,"female : divorced/separated/married","none",1,"car or other",22,"none","own",1,"skilled employee/official",1,"yes","yes",1
"14","... < 100 DM",24,"critical account/other credits existing","car (new)",1199,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"car or other",60,"none","own",2,"unskilled - resident",1,"no","yes",0
"15","... < 100 DM",15,"existing credits paid back duly till now","car (new)",1403,"... < 100 DM","1 <= ... < 4 years",2,"female : divorced/separated/married","none",4,"car or other",28,"none","rent",1,"skilled employee/official",1,"no","yes",1
"16","... < 100 DM",24,"existing credits paid back duly till now","domestic appliances",1282,"100 <= ... < 500 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",2,"car or other",32,"none","own",1,"unskilled - resident",1,"no","yes",0
"17","no checking account",24,"critical account/other credits existing","domestic appliances",2424,"unknown/no savings account","... >= 7 years",4,"male : single","none",4,"building society savings agreement/life insurance",53,"none","own",2,"skilled employee/official",1,"no","yes",1
"18","... < 100 DM",30,"no credits taken/all credits paid back duly","others",8072,"unknown/no savings account","... < 1 year",2,"male : single","none",3,"car or other",25,"bank","own",3,"skilled employee/official",1,"no","yes",1
"19","0 <= ... < 200 DM",24,"existing credits paid back duly till now","car (used)",12579,"... < 100 DM","... >= 7 years",4,"female : divorced/separated/married","none",2,"unknown/no property",44,"none","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",0
"20","no checking account",24,"existing credits paid back duly till now","domestic appliances",3430,"500 <= ... < 1000 DM","... >= 7 years",3,"male : single","none",2,"car or other",31,"none",NA,1,"skilled employee/official",2,"yes","yes",1
"21","no checking account",9,"critical account/other credits existing","car (new)",NA,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",4,"car or other",48,"none","own",3,"skilled employee/official",1,"yes","yes",1
"22","... < 100 DM",6,"existing credits paid back duly till now","domestic appliances",2647,"500 <= ... < 1000 DM","1 <= ... < 4 years",2,"male : single","none",3,"real estate",44,"none","rent",1,"skilled employee/official",2,"no","yes",1
"23","... < 100 DM",10,"critical account/other credits existing","car (new)",2241,"... < 100 DM","... < 1 year",1,"male : single","none",3,"real estate",48,"none","rent",2,"unskilled - resident",2,"no","no",1
"24","0 <= ... < 200 DM",12,"critical account/other credits existing","car (used)",1804,"100 <= ... < 500 DM","... < 1 year",3,"male : single","none",4,"building society savings agreement/life insurance",44,"none","own",1,"skilled employee/official",1,"no","yes",1
"25","no checking account",10,"critical account/other credits existing","radio/television",2069,"unknown/no savings account","1 <= ... < 4 years",2,"male : married/widowed","none",1,"car or other",26,"none","own",2,"skilled employee/official",1,"no","no",1
"26","... < 100 DM",6,"existing credits paid back duly till now","radio/television",1374,"... < 100 DM","1 <= ... < 4 years",1,"male : single","none",2,"real estate",36,"bank","own",1,"unskilled - resident",1,"yes","yes",1
"27","no checking account",6,"no credits taken/all credits paid back duly","domestic appliances",426,"... < 100 DM","... >= 7 years",4,"male : married/widowed","none",4,"car or other",39,"none","own",1,"unskilled - resident",1,"no","yes",1
